"ID","Created Date","Updated Date","Owner","courts","Publish Date","Unpublish Date","Status"
"05cd5e39-9ba8-46dc-9ab1-93c57266af92",2023-07-19T08:59:02Z,2023-07-19T08:59:02Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","DM cum JM Court, Veppanthattai - Tamil Nadu - India",2023-07-19T08:59:02Z,,"PUBLISHED"
"05f51177-8b6a-44e3-8d8e-75f713a6d5a2",2023-07-19T08:59:49Z,2023-07-19T08:59:49Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Wanaprthy, ADJ Complex - Telangana - India",2023-07-19T08:59:49Z,,"PUBLISHED"
"05fb3a1b-25f9-4f19-8961-8ba8c244c6e2",2023-07-19T08:59:15Z,2023-07-19T08:59:15Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Prl District Court Ongole - Andhra Pradesh - India",2023-07-19T08:59:15Z,,"PUBLISHED"
"0606dfaf-58b9-41dc-a12b-8c3d0de3a917",2023-07-19T08:59:52Z,2023-07-19T08:59:52Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","West Siang, District Consumer Disputes Redressal Commission - Arunachal Pradesh - India",2023-07-19T08:59:51Z,,"PUBLISHED"
"0608e9d3-adcb-441e-90d9-479726ceb5c1",2023-07-19T08:58:48Z,2023-07-19T08:58:48Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Benipatti Court - Bihar - India",2023-07-19T08:58:49Z,,"PUBLISHED"
"061105a1-6ace-4f92-96e7-26693f37aebf",2023-07-19T08:59:03Z,2023-07-19T08:59:03Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Gaya Civil Court - Bihar - India",2023-07-19T08:59:03Z,,"PUBLISHED"
"06113043-7494-4f7d-b69a-0efc86a92669",2023-07-19T08:59:19Z,2023-07-19T08:59:19Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Tehri Garhwal, District Consumer Disputes Redressal Commission - Uttarakhand - India",2023-07-19T08:59:19Z,,"PUBLISHED"
"0611a97f-0235-417b-b34b-7387985e35f0",2023-07-19T08:58:47Z,2023-07-19T08:58:47Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Addl Junior Civil Court Gannavaram - Andhra Pradesh - India",2023-07-19T08:58:47Z,,"PUBLISHED"
"062471e0-f37c-43e1-9da2-1f5c032d2a7a",2023-07-19T08:59:15Z,2023-07-19T08:59:15Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Railway Court Allahabad - Uttar Pradesh - India",2023-07-19T08:59:15Z,,"PUBLISHED"
"062838b4-4ea0-4946-ba78-12421fb4140a",2023-07-19T08:59:08Z,2023-07-19T08:59:08Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","KAPARADA, VALSAD - Gujarat - India",2023-07-19T08:59:08Z,,"PUBLISHED"
"062fff3a-0a45-4a34-8242-271f034bb2ff",2023-07-19T08:59:11Z,2023-07-19T08:59:11Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Mokochung District Consumer Disputes Redressal Commission - Nagaland - India",2023-07-19T08:59:11Z,,"PUBLISHED"
"0634a441-8c16-41ea-ba9f-3e36466eff77",2023-07-19T08:59:08Z,2023-07-19T08:59:08Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","Kopergaon, Dist and Session Court - Maharashtra - India",2023-07-19T08:59:08Z,,"PUBLISHED"
"066d682f-b9bc-40dc-b0ac-3a8a4d0eb83d",2023-07-19T08:59:05Z,2023-07-19T08:59:05Z,"2d98aeff-3b9b-4b72-aff2-40ce4c6d1a52","II Magistrate Court, Kancheepuram - Tamil Nadu - India",2023-07-19T08:59:05Z,,"PUBLISHED"
